Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Kelly Olynyk,-4.87,28.53,9.96,4.81,5.26,1.8,6.99,2.9,1.13,0.6,1.8,2.96,13.5
Avery Bradley,-9.22,22.29,6.33,2.37,3.74,1.22,2.11,1.7,0.78,0.11,1.04,2.04,6.41
Maurice Harkless,-2.54,20.86,4.46,1.86,2.27,0.62,2.41,1.19,0.81,0.54,0.59,2.32,5.24
Meyers Leonard,-10.0,9.79,2.33,1.0,2.33,1.0,2.33,0.67,0.0,0.0,0.67,1.67,3.33
Chris Silva,-2.07,6.16,1.07,0.67,0.07,0.07,1.8,0.4,0.07,0.4,0.67,1.6,2.13
Solomon Hill,2.38,21.32,4.2,1.51,2.99,0.96,3.01,1.06,0.7,0.15,0.59,1.63,4.46
Kevin Huerter,2.96,30.81,10.59,4.58,5.59,2.03,3.35,3.49,1.19,0.26,1.14,2.39,11.91
Trae Young,3.27,33.72,17.65,7.73,6.3,2.16,3.89,9.43,0.84,0.19,4.14,1.76,25.3
John Collins,1.98,29.34,12.24,6.81,3.3,1.32,7.41,1.24,0.54,1.0,1.33,3.06,17.63
Clint Capela,1.46,30.13,11.03,6.56,0.0,0.0,14.33,0.78,0.7,2.05,1.16,2.3,15.17
Danilo Gallinari,1.96,23.96,9.31,4.04,4.98,2.02,4.14,1.49,0.59,0.2,0.84,2.06,13.25
Onyeka Okongwu,2.68,12.02,2.98,1.92,0.06,0.0,3.26,0.36,0.46,0.66,0.58,2.0,4.56
Tony Snell,3.66,21.11,3.64,1.87,2.32,1.32,2.38,1.26,0.28,0.23,0.45,1.6,5.3
Brandon Goodwin,1.83,13.18,4.74,1.79,2.19,0.68,1.47,2.02,0.36,0.0,0.77,0.87,4.85
Bogdan Bogdanović,5.27,29.67,12.84,6.07,7.57,3.32,3.64,3.34,1.11,0.3,1.23,2.25,16.36
Nathan Knight,4.58,8.45,3.03,1.12,1.0,0.18,2.18,0.24,0.27,0.3,0.45,0.67,3.76
Skylar Mays,3.21,8.16,2.97,1.33,1.21,0.42,1.06,0.91,0.42,0.06,0.27,0.45,3.76
Bruno Fernando,3.82,6.85,1.33,0.55,0.06,0.0,2.36,0.3,0.12,0.09,0.64,0.7,1.55
Cam Reddish,-0.73,28.86,10.12,3.69,4.85,1.27,4.0,1.35,1.27,0.35,1.31,2.62,11.23
Lou Williams,4.58,21.56,9.79,4.02,2.62,1.05,2.09,3.41,0.71,0.09,1.64,0.94,11.35
De'Andre Hunter,4.0,29.47,10.78,5.22,4.13,1.35,4.78,1.91,0.83,0.52,1.26,2.57,14.96
Kris Dunn,-12.0,11.35,3.0,0.25,0.5,0.0,1.5,0.5,0.5,0.5,0.75,2.5,1.25
Rajon Rondo,4.09,17.09,4.78,2.11,1.98,0.8,2.44,4.42,0.82,0.09,1.76,1.18,5.38
Dwayne Bacon,-9.31,25.73,10.08,4.06,2.88,0.82,3.11,1.29,0.62,0.07,0.64,1.43,10.94
Cole Anthony,-10.66,27.08,11.74,4.66,3.66,1.23,4.7,4.09,0.64,0.38,2.26,2.09,12.87
Terrence Ross,-7.48,29.27,13.39,5.52,5.74,1.93,3.43,2.35,1.02,0.46,1.61,1.91,15.59
Mo Bamba,-11.83,15.75,6.54,3.09,2.57,0.83,5.76,0.76,0.3,1.26,0.78,1.89,7.98
Chuma Okeke,-7.33,25.17,7.2,3.0,3.13,1.09,4.02,2.24,1.07,0.49,0.84,1.07,7.76
James Ennis,-9.93,24.05,5.93,2.8,2.54,1.1,4.05,1.51,0.78,0.17,0.88,2.05,8.41
Chasson Randle,-11.41,20.42,5.78,2.24,3.17,1.07,2.0,1.8,0.54,0.12,1.12,1.56,6.49
Michael Carter-Williams,-5.45,25.79,8.71,3.39,1.97,0.48,4.48,4.16,0.81,0.55,2.23,2.61,8.84
R.J. Hampton,-4.61,17.42,6.14,2.67,1.71,0.53,3.51,1.71,0.41,0.2,1.04,1.2,6.94
Gary Harris,-4.85,27.7,8.85,3.54,3.62,1.23,2.03,2.0,0.72,0.28,0.95,1.82,9.95
Markelle Fultz,4.0,26.9,13.0,5.12,2.0,0.5,3.12,5.38,1.0,0.25,2.25,2.25,12.88
Sindarius Thornwell,-4.67,10.32,2.19,0.71,1.1,0.33,0.86,1.0,0.62,0.1,0.33,0.71,1.95
Jonathan Isaac,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aaron Gordon,0.42,27.68,9.98,4.62,3.52,1.18,5.68,3.22,0.66,0.68,1.94,1.78,12.36
Frank Mason,-9.25,19.82,6.0,2.25,1.25,0.5,3.0,3.0,0.0,0.0,1.25,1.75,6.25
Robert Franks,-17.0,14.39,4.0,1.86,2.14,0.71,2.0,0.71,0.43,0.43,0.29,1.14,6.14
Jordan Bone,-13.07,13.99,3.86,1.64,2.29,0.71,1.71,1.29,0.14,0.0,0.21,0.79,4.0
Donta Hall,-14.31,13.78,2.69,1.92,0.0,0.0,4.77,0.85,0.38,0.77,0.62,1.38,5.62
Devin Cannady,-20.0,9.29,3.5,1.38,2.0,0.75,0.62,0.12,0.62,0.12,0.25,1.12,4.25
